Sample Number,DateTime GMT,Latitude,Longitude,Altitude_mASL,NumSats,GPSLevel,RC Connected,Fix,OffsetSeconds,DateTime UTC,RecordType,TickNo,DateRaw,TimeRaw,hDOP,pDOP,hAcc,sAcc,VelN_mps,VelE_mps,VelD_mps,Source
1121896335,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1869827,<nil>,20301,1121896335,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1122010231,<nil>,21.0393939,105.8055257,0.00,<nil>,5,<nil>,true,1870017,<nil>,12,1122010231,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1122010382,<nil>,21.0393939,105.8055257,0.00,<nil>,5,<nil>,true,1870017,<nil>,12,1122010382,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1122011306,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1870018,<nil>,20313,1122011306,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1122337343,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1870562,<nil>,20301,1122337343,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1122344206,<nil>,21.0393943,105.8055262,22.27,8,3,<nil>,true,1870573,2025-12-10T09:46:04Z,2096,1122344206,20251210,94604,149.000,239.000,3.000,1300.000,0.000,-0.090,0.210,v3
1122431875,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1870719,<nil>,20301,1122431875,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1122460062,<nil>,21.0393937,105.8055257,0.00,<nil>,5,<nil>,true,1870766,<nil>,12,1122460062,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1122549665,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1870916,<nil>,1001,1122549665,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1122860768,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1871434,<nil>,1305,1122860768,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1122910037,<nil>,21.0393936,105.8055257,0.00,<nil>,5,<nil>,true,1871516,<nil>,12,1122910037,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1122910177,<nil>,21.0393936,105.8055257,0.00,<nil>,5,<nil>,true,1871516,<nil>,12,1122910177,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1122910242,<nil>,21.0393936,105.8055257,0.00,<nil>,5,<nil>,true,1871517,<nil>,12,1122910242,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1122951261,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1871585,<nil>,20300,1122951261,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1123066515,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1871777,<nil>,20313,1123066515,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1123600538,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1872667,<nil>,20325,1123600538,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1123692042,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1872820,<nil>,20313,1123692042,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1123810126,<nil>,21.0393935,105.8055257,0.00,<nil>,5,<nil>,true,1873016,<nil>,12,1123810126,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1123810275,<nil>,21.0393935,105.8055257,0.00,<nil>,5,<nil>,true,1873017,<nil>,12,1123810275,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1123811650,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1873019,<nil>,1700,1123811650,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1124020016,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1873366,<nil>,20300,1124020016,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1124110549,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1873517,<nil>,20313,1124110549,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1124133232,<nil>,21.0393939,105.8055265,22.23,7,2,<nil>,true,1873555,2025-12-10T09:46:05Z,2096,1124133232,20251210,94605,165.000,328.000,3.000,1313.000,-0.010,0.000,0.150,v3
1124227176,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1873711,<nil>,20312,1124227176,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1124259932,<nil>,21.0393934,105.8055257,0.00,<nil>,5,<nil>,true,1873766,<nil>,12,1124259932,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1124447056,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1874078,<nil>,20341,1124447056,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1124562448,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1874270,<nil>,20312,1124562448,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1124661460,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1874435,<nil>,20312,1124661460,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1124710217,<nil>,21.0393934,105.8055257,0.00,<nil>,5,<nil>,true,1874517,<nil>,12,1124710217,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1124710372,<nil>,21.0393934,105.8055257,0.00,<nil>,5,<nil>,true,1874517,<nil>,12,1124710372,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1124769227,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1874615,<nil>,20300,1124769227,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1124861696,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1874769,<nil>,20312,1124861696,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1125032745,<nil>,21.0393939,105.8055265,22.22,7,2,<nil>,true,1875054,2025-12-10T09:46:05Z,2096,1125032745,20251210,94605,165.000,328.000,3.000,1319.000,0.000,0.000,0.150,v3
1125044127,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1875073,<nil>,20301,1125044127,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1125160335,<nil>,21.0393933,105.8055258,0.00,<nil>,5,<nil>,true,1875267,<nil>,12,1125160335,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1125160497,<nil>,21.0393933,105.8055258,0.00,<nil>,5,<nil>,true,1875267,<nil>,12,1125160497,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3-type12
1125160756,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1875267,<nil>,20300,1125160756,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1125244368,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1875407,<nil>,20301,1125244368,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1125363446,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1875605,<nil>,20312,1125363446,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1125453794,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1875756,<nil>,20313,1125453794,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1125548305,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1875913,<nil>,20313,1125548305,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1125661683,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1876102,<nil>,1305,1125661683,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1125830935,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1876384,<nil>,1305,1125830935,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1125928121,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,1876546,<nil>,20312,1125928121,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,v3
1125932659,<nil>,21.0393939,105.8055265,22.21,7,2,<nil>,true,1876554,2025-12-10T09:46:05Z,2096,1125932659,20251210,94605,165.000,328.000,3.000,1326.000,0.000,0.000,0.130,v3
